kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_steff,koi_srad,koi_slogg,koi_kepmag
"K07052.01","FALSE POSITIVE",7.549299761,2.46338,44575.7,0.899,18.8,5085.00,0.6340,4.679,14.608
"K07053.01","FALSE POSITIVE",0.530972263,3.653,48.6,1.079,9.32,6185.00,0.9910,4.472,15.016
"K07054.01","FALSE POSITIVE",0.530967171,3.8102,378394,0.84,92.29,5951.00,0.9910,4.439,10.292
"K07055.01","FALSE POSITIVE",1.606163631,4.92516,144603,0.901,130.46,8027.00,2.3140,3.997,12.691
"K07056.01","FALSE POSITIVE",42.032096076,11.6768,391261,0.519,79.17,6618.00,1.1170,4.393,12.694
"K07057.01","FALSE POSITIVE",0.619303759,6.6038,74.5,1.013,4.71,7138.00,1.6840,4.137,13.154
"K07058.01","FALSE POSITIVE",22.470494368,7.39097,45979,0.86,19.12,5315.00,0.6970,4.636,12.723
"K07185.01","FALSE POSITIVE",37.482223878,4.81451,28976.8,1.2,114.14,6422.00,2.4150,3.780,13.460
"K07186.01","FALSE POSITIVE",3.71186243,1.032,53.9,0.469,0.95,6302.00,1.2580,4.299,13.787
"K07187.01","FALSE POSITIVE",1.077358008,3.6713,311051,0.619,70.64,6100.00,1.0640,4.397,14.146
"K07188.01","FALSE POSITIVE",3.55643514,8.529,45.8,0.146,0.75,5831.00,1.1090,4.289,13.874
"K07189.01","FALSE POSITIVE",0.5366497,2.887,105.4,0.042,0.92,5822.00,0.8980,4.529,15.449
"K07191.01","FALSE POSITIVE",1.480324075,3.20209,400007,0.388,47.81,5260.00,0.7170,4.560,13.983
"K07192.01","FALSE POSITIVE",12.08353781,7.90317,43086.6,0.749,50.33,6770.00,2.2140,3.890,12.344
"K07892.01","CONFIRMED",10.692115,4.657,408.4,0.734,2.71,6474.00,1.2420,4.311,14.294
"K07318.01","FALSE POSITIVE",0.934926138,3.1925,131941,0.905,58.67,5962.00,1.0780,4.423,14.681
"K07321.01","FALSE POSITIVE",0.93374699,6.168,172.1,1.167,103.98,4909.00,5.2720,3.136,13.327
"K07322.01","FALSE POSITIVE",0.933759404,3.491,114.9,0.712,0.99,5766.00,0.8660,4.514,15.619
